ID	length	molecular_weight	instability	hydrophobicity	aliphatic	pI	charge
WP_237932794.1 glycoside hydrolase family protein, partial [Buttiauxella sp. S19-1]	438	50260.65904	41.8066210045662	-0.492922374429224	89.2237442922374	5.66744563964335	-10.1984636605652
WP_239761736.1 glycoside hydrolase family protein [Tenacibaculum finnmarkense]	447	51684.29964	25.9299776286353	-0.617673378076063	80.6935123042506	9.8924781072466	20.6595057988459
WP_252663527.1 glycoside hydrolase family protein [Phormidium yuhuli]	394	45333.91114	33.4380710659898	-0.516751269035533	72.0304568527919	6.29496700080301	-6.20791010022654
WP_310556891.1 glycoside hydrolase family protein [Flavobacterium sp.]	369	41686.02764	29.6005420054201	-0.475338753387534	82.1951219512195	6.41653467410053	-3.46055786320351
WP_370889819.1 glycoside hydrolase family protein [Caballeronia sp. RCC_10]	346	38541.54174	40.8780346820809	-0.425433526011561	77.2254335260116	8.54152952393266	4.74184422745491
pdb|8Q2G|A Chain A, Peptidoglycan L-alanyl-D-glutamate endopeptidase	139	16081.39184	9.43525179856115	-0.694244604316547	72.8057553956834	9.9646965728358	6.27890151491736
AAK86279.2 endolysin [Agrobacterium fabrum str. C58]	213	23083.73624	23.531455399061	-0.0586854460093897	93.4272300469484	10.2219874533629	8.37456771267662
AAM83781.1 hypothetical phage protein [Yersinia pestis KIM10+]	136	15883.30304	36.1316176470588	-0.552205882352941	77.4264705882353	9.29471935734371	2.9480216357042
AAP48785.1 endolysin [Salmonella phage SP6]	118	13162.02774	34.4016949152542	-0.443220338983051	66.9491525423729	9.68522977985845	7.20751235147963
AAT69479.1 endolysin [Alphaproteobacteria phage PhiJL001]	106	11945.70364	38.8150943396226	-0.580188679245283	74.5283018867924	10.4121671125536	5.45970496039087
AAX84866.1 endolysin [Xanthomonas phage Xp15]	155	17104.54934	15.3412903225806	-0.389032258064516	79.9354838709677	9.74289742257002	4.30941333277192
AAY53065.1 PlyB025 [Listeria phage B025]	276	31709.41994	24.2916666666667	-0.631521739130435	59.7463768115942	10.1683460637191	22.8701910906889
ABB66025.1 putative endolysin [Shigella boydii Sb227]	130	14719.66594	46.0838461538462	-0.554615384615385	72.7692307692308	10.0312747533746	4.37226233637908
ABX16590.1 peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin [Burkholderia multivorans ATCC 17616]	281	31456.45394	37.6110320284698	-0.106761565836299	97.2597864768683	10.3572236230043	10.4688331531001
ABX17740.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Burkholderia multivorans ATCC 17616]	187	20616.34114	40.8155080213904	-0.136363636363636	92.4598930481283	5.76618115099124	-7.22640336716995
ACA94598.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Burkholderia orbicola MC0-3]	230	25623.93634	57.1304347826087	-0.2	90.9130434782609	6.28208278691371	-6.03639335182179
ACB94848.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Beijerinckia indica subsp. indica ATCC 9039]	227	24764.16644	30.9361233480176	-0.0969162995594714	76.2995594713656	5.75142332850014	-2.89741160792973
ACC73126.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Paraburkholderia phymatum STM815]	188	20926.95434	43.2957446808511	-0.223404255319149	92.5	6.34131191764812	-5.13447843817846
ACC98390.1 D-Alanyl-D-alanine dipeptidase [Elusimicrobium minutum Pei191]	263	30231.44674	49.3589353612167	-0.490114068441065	76.425855513308	8.05286465323968	1.28667683249043
ACD04960.1 peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin [Akkermansia muciniphila ATCC BAA-835]	195	22509.01144	33.6112820512821	-0.842051282051282	59.6923076923077	8.62293217347384	2.34225205449629
ACD20627.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Paraburkholderia phytofirmans PsJN]	187	20837.75934	41.107486631016	-0.222994652406417	96.096256684492	5.77987993115114	-7.22019216901643
ACD90339.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Chlorobium limicola DSM 245]	216	24606.18214	34.8268518518518	-0.311111111111111	73.2407407407407	6.28408841392528	-1.95495885275906
ACK51058.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Methylocella silvestris BL2]	222	24561.63704	32.5184684684685	-0.273423423423423	72.6576576576577	4.86733158884103	-9.67244780507889
ACK65451.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Rippkaea orientalis PCC 8801]	233	27014.79744	49.9210300429185	-0.563948497854077	78.2832618025751	6.30778024334908	-4.37940309837331
ACK72920.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Gloeothece citriformis PCC 7424]	240	27681.24254	49.37875	-0.631666666666667	76	6.80427673994038	-2.1712869164898
ACT58634.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Hirschia baltica ATCC 49814]	259	29587.22814	57.796138996139	-0.523938223938224	70.1544401544402	4.71332310881418	-12.3314141184716
ACT83034.1 endolysin gp23 [Burkholderia phage KS9]	149	15749.90944	42.3536912751678	0.00872483221476508	90.4697986577181	8.77431632096495	2.15953296137612
ACT94042.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Dyadobacter fermentans DSM 18053]	231	25726.83344	30.487012987013	-0.281818181818182	87.965367965368	9.89553108253722	8.12561340464197
ACU59483.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Chitinophaga pinensis DSM 2588]	239	27196.30184	42.6004184100418	-0.146443514644351	95.6066945606695	9.71750504541778	7.45124387889526
ACV05036.1 endolysin [Thermus phage P23-77]	203	23289.88834	56.1788177339902	-0.492610837438424	73.1034482758621	10.4375854254952	14.2472103315338
ACX74028.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Fibrobacter succinogenes subsp. succinogenes S85]	242	27347.40864	40.298347107438	-0.0818181818181818	81.0743801652893	9.23984469600606	5.54506819545115
ACY14987.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Haliangium ochraceum DSM 14365]	230	25370.20444	46.3652173913043	-0.120434782608696	85.9130434782609	10.3540786297448	9.31477252143719
ADB40441.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Spirosoma linguale DSM 74]	244	27893.24644	29.7467213114754	-0.457377049180328	78.4426229508197	10.0502558965383	11.2501789258672
ADE57456.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Aminobacterium colombiense DSM 12261]	244	27885.69484	50.5348360655738	-0.440573770491803	75.1639344262295	6.30119073054594	-1.82529622949324
ADG73446.1 peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin [Cellulomonas flavigena DSM 20109]	267	27704.29674	34.8134831460674	-0.00374531835205993	85.2059925093633	6.59674258072781	-3.46826514632919
ADL01947.1 putative phage endolysin [Brevundimonas subvibrioides ATCC 15264]	127	13918.03774	58.7755905511811	-0.17244094488189	96.1417322834646	11.9038515631437	8.64145668065553
ADU39700.1 peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin [Variovorax paradoxus EPS]	281	31494.61664	24.6096085409253	0.10711743772242	98.2562277580071	9.66566909695471	6.41020486380481
AEE44647.1 peptidase M15D vanX D-ala-D-ala dipeptidase [Cellulomonas fimi ATCC 484]	206	22087.16414	24.9111650485437	0.0276699029126214	101.359223300971	7.1455083475093	-0.561722278108619
AEF46535.1 putative endolysin [Serratia plymuthica AS9]	128	14316.22734	45.45625	-0.425	77.03125	9.41428031919051	2.37171026731302
AEK81965.1 putative endolysin [Salmonella phage 7-11]	130	14818.04264	34.0792307692308	-0.416923076923077	83.1538461538462	9.68795021998121	2.46751228204342
AEO07264.1 endolysin L-alanyl-D-glutamate peptidase [Listeria monocytogenes 10403S]	283	30989.98594	15.6448763250883	-0.631448763250883	60.7420494699647	10.3849182151304	22.2937686586216
AEZ66313.1 endolysin [Pectobacterium phage phiTE]	127	14474.76794	16.855905511811	-0.411811023622047	80.5511811023622	9.98392803586455	5.36788734407789
AFA45171.1 endolysin [Avibacterium paragallinarum]	135	15499.65284	29.2785185185185	-0.646666666666667	70.0740740740741	10.1531526203208	5.55834214981194
AFC22039.1 putative endolysin [Cronobacter phage vB_CsaP_GAP52]	130	14809.09734	47.8153846153846	-0.49	75	9.92121632438259	3.19656380754224
AFC22256.1 putative endolysin [Cronobacter phage vB_CsaM_GAP161]	131	14715.95224	39.3656488549618	-0.426717557251908	92.1374045801527	10.1022089652701	4.19142126564526
AGF89337.1 putative endolysin [Salmonella phage FSL SP-062]	129	14577.44654	45.9922480620155	-0.553488372093023	71.8604651162791	9.77254002709325	3.37197392512758
AGJ50592.1 mitrecin A [Streptomyces sp. 212]	127	14324.33694	31.8811023622047	-0.346456692913386	87.6377952755905	9.84827220523912	2.37587245300319
AGM99855.1 prophage Lp1 protein 52, endolysin [Streptococcus iniae SF1]	451	51060.77374	31.8855875831486	-0.403547671840355	94.0133037694013	5.03801479591549	-7.87292647669049
AGN30423.1 endolysin [Synechococcus phage S-CBS4]	128	14554.67684	41.08671875	-0.484375	77.734375	10.7554251049939	7.45633179861266
AIK67543.1 putative endolysin [Cronobacter phage vB_CsaP_Ss1]	135	15528.55894	40.0259259259259	-0.588888888888889	79.4074074074074	5.04347226170729	-4.70768230357494
AJD82801.1 zinc D-Ala-D-Ala carboxypeptidase precursor [Achromobacter phage JWX]	150	16433.84604	39.142	-0.169333333333333	98.2666666666667	9.08691195884006	3.2486789213893
AJD82866.1 peptidase M15 [Achromobacter phage 83-24]	152	16445.03974	32.1743421052632	0.000657894736842079	104.013157894737	8.71467780842764	2.25171169971698
AJD83154.1 endolysin [Paracoccus phage vB_PmaS-R3]	270	30740.32464	34.6840740740741	-0.658518518518519	66.962962962963	8.21176283818458	1.70825131967146
AJR18528.1 Phage endolysin [Pimelobacter simplex]	177	20287.51054	49.3553672316384	-0.359887005649718	86.6101694915254	11.654577622824	15.5818260340274
AKA61966.1 endolysin [Proteus phage vB_PmiM_Pm5461]	121	13744.92994	24.300826446281	-0.459504132231405	90.0826446280992	10.1022580003546	4.19272603077257
AKN37444.1 endolysin [Enterovibrio norvegicus]	138	15784.94634	27.2152173913043	-0.483333333333333	72.7536231884058	9.85417727493887	4.37378953481833
ALF16987.1 endolysin [Fusobacterium animalis]	169	19336.20514	12.0118343195266	-0.621301775147929	80.6508875739645	9.84719049554664	8.30862937090954
ALF24715.1 endolysin [Fusobacterium nucleatum subsp. nucleatum ChDC F316]	169	19489.54594	14.8674556213018	-0.490532544378698	85.2662721893491	9.89708743002304	8.31151856568821
ALM18087.1 endolysin [Mycobacteroides abscessus]	222	25277.60114	33.7022522522523	-0.565765765765766	72.1171171171171	6.35926192704777	-2.71662864838149
ALY08692.1 endolysin [Arthrobacter phage Circum]	308	33819.72684	36.4311688311688	-0.310064935064935	82.4025974025974	4.51512269363083	-15.4103457940059
AMM44373.1 endolysin [Arthrobacter phage Mudcat]	309	33838.80144	28.9423948220065	-0.312297734627832	79.9029126213592	4.71524137893414	-13.2581580894022
ANA86378.1 endolysin [Gordonia phage OneUp]	201	22264.23444	51.2069651741294	-0.415422885572139	70.3980099502487	7.45431115854215	0.155181214496398
ANJ65530.1 putative endolysin [Pseudoalteromonas virus vB_PspP-H6/1]	130	14665.82024	27.9715384615385	-0.349230769230769	77.2307692307692	8.46720116980648	1.30838635063362
APD22020.1 endolysin [Streptococcus phage IPP16]	450	51143.27884	36.2577777777778	-0.441111111111111	94.4222222222222	5.91103361256972	-3.58686412425627
APV35224.1 endolysin [Acinetobacter soli]	149	16849.68484	19.8771812080537	-0.236241610738255	87.5167785234899	10.0844705561498	7.06633094117798
ARK07714.1 putative endolysin [Rhodococcus phage Toil]	227	25772.14984	37.9361233480176	-0.4784140969163	76.1674008810573	6.03735297961335	-3.64439451607092
ASE39154.1 endolysin [Brevundimonas vesicularis]	154	17045.71194	28.5136363636364	-0.312987012987013	85.5194805194805	10.3632434658966	8.40043587534607
ASF66096.1 putative phage protease (endolysin) [Salmonella phage MDS-2017a]	113	12905.35904	19.0398230088496	-0.644247787610619	67.3451327433628	7.08942004897779	-0.535166901631072
ASM62384.1 endolysin, L-Ala-D-Glu peptidase domain [Arthrobacter phage Taj14]	149	15963.94054	17.2221476510067	-0.0979865771812081	83.758389261745	6.50285736851494	-5.02200124521039
ASS39594.1 endolysin [Fusobacterium sp. oral taxon 203]	169	19275.05954	17.3396449704142	-0.614792899408284	79.585798816568	9.66731101018354	6.30992958058309
ATL65151.1 endolysin [Nocardia terpenica]	188	21282.80874	42.1851063829787	-0.403191489361702	73.6702127659574	4.55918239730063	-9.73768194799764
ATN93359.1 endolysin [Marinobacter phage PS3]	129	14477.34114	39.5744186046512	-0.44031007751938	75.5813953488372	6.68446519860388	-1.53304346250293
ATV05999.1 endolysin [Fusobacterium vincentii]	167	19250.86964	19.6724550898204	-0.802994011976048	68.8023952095808	9.48509131931082	6.15445947957597
ATV34608.1 endolysin [Fusobacterium pseudoperiodonticum]	166	19423.11104	24.9343373493976	-0.846385542168675	66.2650602409639	9.79609700298209	9.24169949488139
ATV35452.1 endolysin [Fusobacterium pseudoperiodonticum]	166	19283.11584	16.1265060240964	-0.68855421686747	76.2650602409639	9.66529018817957	8.15275202853885
ATV65109.1 endolysin [Fusobacterium pseudoperiodonticum]	166	19499.31534	8.05	-0.778313253012048	75.1204819277108	9.75928551275143	9.15142007864779
ATV71833.1 endolysin [Fusobacterium pseudoperiodonticum]	149	17390.03324	28.9946308724832	-0.505369127516779	84.3624161073825	10.1217469329177	10.2360658567886
AUM58523.1 endolysin [Proteus phage phiP4-3]	123	14084.33934	34.4455284552846	-0.452845528455285	87.8861788617886	10.0420871338947	4.19438144343287
AUS31716.1 endolysin [Rhodococcus qingshengii]	236	26514.94484	29.2796610169492	-0.519915254237288	65.3813559322034	6.52316975708163	-1.80144618504477
AVR56194.1 endolysin [Microbacterium phage BurtonThePup]	231	24427.37464	33.0792207792208	-0.329004329004329	68.1385281385281	8.44396444311986	1.58818108677721
AWY04858.1 endolysin [Microbacterium phage Floof]	272	28488.05394	25.8433823529412	-0.2625	74.0073529411765	10.7909274743485	12.7329146055684
AWY05293.1 endolysin [Microbacterium phage MementoMori]	267	28314.47804	30.2823970037453	-0.397003745318352	62.1722846441948	7.31975723333106	-0.257634896714776
AXC38257.1 endolysin [Microbacterium phage Noelani]	230	24134.98324	25.8352173913043	-0.23304347826087	70.1304347826087	7.34745429771926	-0.229074405345979
AXH50945.1 putative endolysin [Serratia phage Scapp]	126	14747.78234	39.6746031746032	-0.7	70.3968253968254	8.97845460186603	2.30918803777535
AYD82484.1 endolysin [Achromobacter phage vB_Ade_ART]	150	16529.90394	35.756	-0.274666666666667	91.0666666666667	8.67783549596037	2.25193413302891
AYD86264.1 endolysin [Microbacterium phage Efeko]	217	22660.40724	35.2244239631336	-0.374193548387097	60.7373271889401	8.23017045158063	1.42965419156313
AYN58501.1 endolysin [Arthrobacter phage Maureen]	293	30885.66614	30.2515358361775	-0.156313993174061	79.8976109215017	7.23323956959104	-0.410587992789044
BAQ90602.1 putative endolysin [uncultured Mediterranean phage uvMED]	138	15729.17204	60.9202898550725	-0.454347826086957	84.0579710144928	9.52068647184346	4.15768284076179
BBB11919.1 endolysin gp23 [Sphingopyxis sp. FD7]	161	17780.17304	29.7627329192547	-0.45776397515528	87.8260869565217	10.8996706030838	9.39795388793261
BBU72763.1 putative endolysin [Cronobacter phage vB_CsaP_009]	130	15258.62454	49	-0.506153846153846	78.6923076923077	9.71011018423697	3.19371054425476
BDI46010.1 phage endolysin [Escherichia sp. HH154_1D]	123	14111.99404	39.9845528455285	-0.678048780487805	75.2845528455285	9.51046338094304	2.19647635346763
CAA2409902.1 Putative Phage Endolysin protein [Xanthomonas phage Suba]	139	15208.72794	26.0848920863309	-0.251079136690647	86.9784172661871	10.3821878663863	7.16187868220281
CAH21091.1 bacteriophage P7 related protein [Yersinia pseudotuberculosis IP 32953]	131	14841.20974	26.6786259541985	-0.26793893129771	89.3129770992366	10.1048809686782	5.31084300082003
CAH2570279.1 endolysin [uncultured archaeal virus]	259	29164.94704	32.2837837837838	-0.532046332046332	69.6911196911197	8.06622308329758	1.37419614813986
CAH7184531.1 Endolysin [Vibrio chagasii]	161	18164.97374	32.3142857142857	-0.11055900621118	88.3850931677019	9.7297115131526	5.21713805424969
CAI77378.1 endolysin [Yersinia enterocolitica W22703]	133	15460.65874	52.5932330827068	-0.593233082706767	85.0375939849624	9.6883497710312	2.37559102853222
CAI9750055.1 endolysin [uncultured phage]	142	16595.88524	39.6739436619718	-0.794366197183099	74.0845070422535	7.61819166380956	0.344830515913299
CAI9750277.1 endolysin, partial [Microvirus sp.]	100	11446.11524	35.244	-0.499	79	8.45972097644212	2.18451400859891
CAI9751356.1 endolysin [Microvirus sp.]	123	13894.04544	32.0211382113821	-0.234146341463415	76.0975609756098	9.21448736225324	7.16982130239456
CAI9751946.1 endolysin [Herelleviridae sp.]	130	15242.27584	37.8884615384615	-0.689230769230769	86.3076923076923	6.95980542960941	-0.682002776050788
CAJ0561845.1 Endolysin [Proteus mirabilis]	134	15147.49894	40.9776119402985	-0.401492537313433	81.4925373134328	10.1272124757831	5.28177953164179
CAJ1243018.1 endolysin [Cobetia amphilecti]	329	35981.59374	41.0206686930091	-0.225531914893617	91.580547112462	4.69361983675394	-12.415689434534
CAJ1249769.1 endolysin [Pseudoalteromonas galatheae]	360	39807.33764	43.9561111111111	-0.308055555555556	92.2222222222222	8.39422105423312	1.77914606751369
CAJ1760650.1 endolysin [uncultured phage]	122	14126.29584	14.9565573770492	-0.572131147540984	81.3934426229508	9.48674995792235	3.1873351342112
CAJ1766294.1 endolysin [uncultured phage]	132	15096.15264	10.7015151515152	-0.543939393939394	81.2878787878788	8.86455271416142	3.09466334204338
CAJ1772359.1 endolysin [uncultured phage]	132	14756.69364	16.6681818181818	-0.642424242424242	78.4090909090909	9.08603391066318	3.33676570943108
CAJ1814428.1 endolysin [Halomonas sp. BMC6]	120	13178.85744	40.8775	-0.216666666666667	74	8.2308206981802	2.14911057653369
CAJ1848471.1 endolysin [Halomonas sp. BMC6]	161	18315.85254	43.4062111801242	-0.575155279503106	76.2732919254658	10.0048928981495	5.40577481896619
CAJ1871559.1 endolysin [Sutcliffiella sp. BMC8]	500	55214.98344	32.5022	-0.546	86.86	8.51291842120885	2.15797275222556
CAJ28446.1 endolysin [Yersinia phage PY100]	138	15721.14094	46.3420289855072	-0.440579710144928	78.3333333333333	9.62766676535755	3.37305795071207
CCW14595.1 Phage endolysin [Rhodococcus aetherivorans]	189	21143.69654	37.6761904761905	-0.342328042328042	77.5132275132275	5.16663470859226	-5.65947020687944
CDC64858.1 prophage Lp1 protein 52 endolysin [Ruminococcus sp. CAG:57]	355	39098.58714	27.1247887323944	-0.126197183098592	94.1971830985915	6.99580629559955	-0.958856698345397
CDJ78069.1 Endolysin [Serratia marcescens SMB2099]	133	15153.30584	57.0676691729323	-0.254887218045113	87.9699248120301	9.1249394773977	2.31603137411062
CDT54076.1 putative Endolysin gp23 [Vibrio coralliirubri]	147	16863.29274	45.734693877551	-0.492517006802721	92.8571428571429	10.0709816551504	5.37791241153925
DAD64362.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Caudoviricetes sp.]	135	15540.76724	46.1222222222222	-0.452592592592593	85.1851851851852	9.74927994382017	3.37345489399484
DAD67809.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Siphoviridae sp. ctMS01]	189	21325.37744	27.5148148148148	-0.594708994708995	77.3015873015873	8.21411684766531	1.44385806001497
DAD74145.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Myoviridae sp. ctplG2]	190	22010.88134	50.698947368421	-0.846315789473684	59.7368421052632	7.9542962956818	1.05202014893397
DAE01576.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Myoviridae sp. ctfOA1]	129	14543.42584	51.9976744186046	-0.527131782945736	71.8604651162791	9.43539831907628	2.28121959582174
DAE24062.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Siphoviridae sp. ctg6Y13]	195	21939.99944	33.074358974359	-0.545641025641026	83.4358974358974	6.68720808719553	-1.59062233731343
DAE38381.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Caudoviricetes sp.]	138	15751.18884	27.1449275362319	-0.355797101449275	91.8840579710145	8.47320131230501	1.31411932441464
DAE81042.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Caudoviricetes sp.]	122	14120.25884	20.0295081967213	-0.632786885245902	82.9508196721311	9.82402474054622	5.18659361620419
DAE94911.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Caudoviricetes sp.]	194	21649.65094	29.3989690721649	-0.532474226804124	80.8762886597938	7.68854827254624	0.525006156894544
DAE97944.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Caudoviricetes sp.]	137	15229.46604	46.570802919708	-0.244525547445255	83.2846715328467	8.26525980562194	1.4365635398363
DAF08338.1 MAG TPA: L alanyl D glutamate peptidase endolysin [Caudoviricetes sp.]	129	14954.06924	34.6372093023256	-0.622480620155039	76.9767441860465	8.41922110715888	1.3120463061322
